Article ID,Article Title,User Name,Resolve?,Include,Search Engine,Exclusion stage,Reason for exclusion,Details of reason for exclusion if other,Article Topic: notes,Year of publication,Country of Primary Author,Study Location Name,Study Country,Study Location Coordinates (Decimal Degrees),Study length (years),Starting year of data collection,Number of study species,Species family,Species Latin Name(s),Conservation status(es),Sample size (individuals),Sample size (colonies),Sample size (other),Research Focus,Research Focus if other or additional details,Source of seabird location information.,Source of seabird location information if other,Tracking accuracy (m),Temporal resolution of tracking data, Type of remote sensing,Type of remote sensing if other,Repository (website) source of remotely sensed data,Satellite Source/Space Agency,Satellite platform for remote sensing data,Satellite sensor used,Satellite Product/Environmental Variables,Derived metrics,Non-SRS environmental variables ,Temporal Resolution of SRS (days),Spatial resolution of SRS (mxm),Satellite imagery processing/analysis software,Was satellite data verified? How?,Details of how satellite data was verified if Other,Do/How do authors account for or discuss temporal variation in environment?,Analytical method for linking movement and environment,Do the authors make or discuss specific predicted changes in seabird ecology,Link to policy or conservation,Additional notes,User Note,Title,Journal,Authors
8566812,Diving of Great Shearwaters (Puffinus gravis) in Cold and Warm Water Regions of the South Atlantic Ocean,hannah.1.wood,,TRUE, WOS,,,,Looking at diving behaviour from TDRs and using SRS SST data to estimate foraging locations,2010,Canada,"Inaccessible Island, South Atlantic Ocean",,"37d18'S, 12d40'W",1,2009,1,,Puffinus gravis,,2,,,Foraging Location/Distribution,diving behaviour in different temperature regimes, Other electronic tag,TDR (location derived from SST data),NI,3 seconds, Satellite,,http://oceancolor.gsfc.nasa.gov/ftp.html),NASA,Aqua,MODIS,SST,,,8,NI,NI, Not Included,,NI,Visual comparison of location data with SST maps,NI,NI,,,Diving of Great Shearwaters (Puffinus gravis) in Cold and Warm Water Regions of the South Atlantic Ocean,PLoS One,"Ronconi, Robert A.; Ryan, Peter G.; Ropert-Coudert, Yan"
8566813,Great skua (Stercorarius skua) movements at sea in relation to marine renewable energy developments,hannah.1.wood,,FALSE, WOS,Title/Abstract, Does not use satellite remote sensing,,Tracking compared to planned energy developments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great skua (Stercorarius skua) movements at sea in relation to marine renewable energy developments,Mar. Environ. Res.,"Wade, H. M.; Masden, E. A.; Jackson, A. C.; Thaxter, C. B.; Burton, N. H. K.; Bouten, W.; Furness, R. W."
8566814,Monitoring Seabirds and Marine Mammals by Georeferenced Aerial Photography,hannah.1.wood,,FALSE, WOS, Main Body, Other: describe below,Methods paper fore aerial surveys of seabirds. Not a 'study',Methods paper for aerial surveys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monitoring Seabirds and Marine Mammals by Georeferenced Aerial Photography,"Xxiii Isprs Congress, Commission Viii","Kemper, G.; Weidauer, A.; Coppack, T.; Halounova, L.; Safar, V.; Raju, P. L. N.; Planka, L.; Zdimal, V.; Kumar, T. S.; Faruque, F. S.; Kerr, Y.; Ramasamy, S. M.; Comiso, J.; Hussin, Y. A.; Thenkabail, P. S.; Lavender, S.; Skidmore, A.; Yue, P.; Patias, P.; Altan, O.; Weng, Q."
8566815,Assessing the impacts of fishing and habitat loss on the Lord Howe Island population of flesh-footed shearwaters,hannah.1.wood,,FALSE, WOS, Main Body;;;Title/Abstract, Other: describe below,Not a peer-reviewed paper but a paper for a conference,Shearwater distribution model and co-occurrence of of fisheries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure about this paper. Uses SST to predict distribution as part of the model,,Assessing the impacts of fishing and habitat loss on the Lord Howe Island population of flesh-footed shearwaters,,"Tuck, G. N.; Wilcox, C.; Anderssen, R. S.; Braddock, R. D.; Newham, L. T. H."
8566816,Using the unique spectral signature of guano to identify unknown seabird colonies,hannah.1.wood,,TRUE, WOS,,,,Penguin guano from SRS images,2015,UK,Marguerite Bay,Antarctica,"68°30′W, 68°30′S",9 (SRS);;;65 (Seabird location),1984 (SRS);;;1950 (Seabird Location),6,Phalacrocoracidae;;;Procellariidae;;;Procellariidae;;;Stercorariidae;;;Stercorariidae;;;Procellariidae;;;Spheniscidae,Phalacrocorax bransfieldensis;;;Pagodroma nivea nivea;;;Macronectes giganteus;;;Stercorarius maccormicki;;;Stercorarius antarcticus;;;Fulmarus glacialoides;;;Pygoscelis adeliae,Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern,>100000,18,, Breeding Location/Distribution,Comparing remote sensing tools for colony identification with existing data (presumable land-based counts), Other,"combi,a-priori and land based unpublished",NI,, Satellite,,NI,NI (NASA/USGS),Landsat 7,TM and Enhanced ThematicMapper (ETM),Band 1-5 and 7 images,Colony presence from colour analysis/guano prescence,,NI,30m x 30m,ERDAS  Imagine software;;;Spectral Angle Mapper in ENVI image processing software (ExelisVisual Information Solutions), Other,"Detections from SRS images based on properties of previously collected 'example/training' samples/known locations of guano, vegetation ad geology.","No, despite use of images and bird counts from a wide time range and at different times of year (not always during the breeding season)",Spatial imagery/Mapping;;;Linear regression,NI,NI,,,Using the unique spectral signature of guano to identify unknown seabird colonies,Remote Sens. Environ.,"Fretwell, P. T.; Phillips, R. A.; Brooke, M. de L.; Fleming, A. H.; McArthur, A."
8566817,"Using object-based analysis of image data to count birds: mapping of Lesser Flamingos at Kamfers Dam, Northern Cape, South Africa",hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,Decided that flamingos in central SA don't count as seabirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Using object-based analysis of image data to count birds: mapping of Lesser Flamingos at Kamfers Dam, Northern Cape, South Africa",Int. J. Remote Sens.,"Groom, Geoff; Petersen, Ib Krag; Anderson, Mark D.; Fox, Anthony D."
8566818,Spatial overlap of Black-browed albatrosses with longline and trawl fisheries in the Patagonian Shelf during the non-breeding season,hannah.1.wood,,FALSE, WOS, Main Body, Not about use of satellite remote sensing for studying seabird ecology,,Black-browed albatross and fishing,2014,Argentina,Patagonian Shelf/Argentine economic exclusive zone (mouth of La Plata River and El Rincon Estuary),Argentina,"38 and 42 S, to shelf break",2 (Seabird);;;1 (Fisheries),2011 (Seabird);;;2011 (Fisheries),1,Diomedeidae,Thalassarche melanophris,Least Concern,11,,,Foraging Location/Distribution,Overlap with fisheries,Satellite tag/GPS tag,,82% >250 - >1500,~1 hour during daylight,,,NI,"Argentinean Vessel Monitoring System (VMS, Ministerio de Agricultura,Ganadería y Pesca)",NI,NI,GPS position of fishing vessels,NI,,1 hour,NI,NI, Not Included,,NI,"Utilisation distribution overlap index of seabird and fisheries home ranges (Kernel density analysis), Kruskal-Wallis and post-hoc Turkey's test",NI,Clear link made. Used Argentinian fisheries management units/grid to highlight intersections/risk of incidental mortality.,,,Spatial overlap of Black-browed albatrosses with longline and trawl fisheries in the Patagonian Shelf during the non-breeding season,J. Sea Res.,"Copello, Sofia; Pon, Juan Pablo Seco; Favero, Marco"
8566819,Acoustic surveying of pelagic fish in shallow water,hannah.1.wood,,FALSE, WOS,Title/Abstract, Does not use satellite remote sensing;;; Not about seabird ecology,Pelagic fish acoustic surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acoustic surveying of pelagic fish in shallow water,"Igarss 2004: Ieee International Geoscience and Remote Sensing Symposium Proceedings, Vols 1-7: Science for Society: Exploring and Managing a Changing Planet","Thorne, R. E."
8566820,Triple check: Observations verify structural realism of an ocean ecosystem model,hannah.1.wood,,FALSE, WOS, Main Body, Not about use of satellite remote sensing for studying seabird ecology,,Using seabird data to verify an ocean model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triple check: Observations verify structural realism of an ocean ecosystem model,Geophys. Res. Lett.,"Santora, Jarrod A.; Sydeman, William J.; Messie, Monique; Chai, Fei; Chao, Yi; Thompson, Sarah Ann; Wells, Brian K.; Chavez, Francisco P."
8566821,Seabird associations with mesoscale eddies: the subtropical Indian Ocean,hannah.1.wood,,TRUE, WOS,,,,terns and petrels and SSH,2006,USA,Sub tropical Indian Ocean,Indian Ocean,"-37.42, 105.43",1,2003,4,,Puffinus pacificus;;;Pterodroma macroptera;;;Sterna fuscata;;;Sterna anaethetus,,198,,one survey,Foraging Location/Distribution,, At-sea survey,,600,6 sec, Satellite,,"Colorado  Centre  forAstrodynamics Research (CCAR) (www-ccar.colorado.edu);;;(http://podaac.jpl.nasa.gov/pub/sea_surface_temperature/avhrr/pathfinder/data_v4.1/), SST;;;(http://seawifs.gsfc.nasa.gov/SEAWIFS.html) Chl a",NASA  (SST and Chl a),Pathfinder (SST),merged TOPEX/Poseidon and ERS product;;;AVHRR (SST);;;SeaWiFS,SSHA;;;SST;;;Chl a,average SST (10 day);;;average CChl a (10 day);;;proportional change within 27km (SST and Chl a),Distance to breeding site,10 (SSH),9000x9000 (SST),, Other,"Mention papers "" on average underestimatesin situ water temperatures by0.09°C  (Casey  &  Cornillon  1999"" and  which  are  within  35%of in situ measurements in the range of 0.05 to 50 mgm–3(Hooker  &  McClain  2000)""",,"logistic regres-sion to relate bird occurrence (binary dependent vari-able, presence/absence) to 6 continuous predictor vari-ables: SSHA (cm), chl a(mg m–3), chl agradients (%),SST (°C), SST gradients (%), and the distance to West-ern  Australia  (km), We  first  compared  the  relative  occurrence(presence/absence)   and   abundance   (proportion   ofindividuals)  of  3  focal  taxa  within  convergence  anddivergence  zones.  Next,  we  used  a  step-wise  proce-dure  to  determine  which  environmental  variables,including  SSHA  and  SST/chl  agradients,  most  accu-rately  characterized  seabird  distributions  across  ourstudy area",,,combine two tern species as can't distinguish between them at sea.,,Seabird associations with mesoscale eddies: the subtropical Indian Ocean,Mar. Ecol.-Prog. Ser.,"Hyrenbach, K. David; Veit, Richard R.; Weimerskirch, Henri; Hunt, George L."
8566822,Primary producer and seabird associations with AVHRR-derived sea surface temperatures and gradients in the southeastern Gulf of Alaska,hannah.1.wood,,TRUE, WOS,,,,,2006,Canada,Gulf of Alaska,Canada,124.8d W to 145d W,9 (seabird data),1996,16,,Phoebastria nigripes;;;Fulmarus glacialis;;;Puffinus griseus;;;Oceanodroma leucorhoa;;;Oceanodroma furcata;;;Phalaropus fulicarius;;;Phalaropus lobatus;;;Larus  heermannii;;;Larus californicus;;;Larus sabini;;;Larus glaucescens;;;Rissa tridactyla;;;Sterna paradisaea;;;Uria aalge;;;Fratercula cirrhata;;;Cerorhinca monocerata;;;Ptychoramphus aleuticus,,,,, Other,at-sea distribution, At-sea survey,,250,3-4 month, Satellite,,"(Chl a NOT USED IN DIRECT RELATION TO SEABIRDS)) NASA Goddard Space Flight Center, Dis-tributed Active Archive Center (http://daac.gsfc.nasa.gov/);;;(SST) NASA Physical Oceanography Distributed ActiveArchive Center (http://podaac.jpl.nasa.gov/sst)","NASA (Chl a, SST)",NI,Level 3 SMI Sea-WiFS (Chl a)   NOT USED IN DIRECT RELATION TO SEABIRDS);;;AVHRR (SST) Pathfinder,Chl a  NOT USED IN DIRECT RELATION TO SEABIRDS);;;SST,"monthly composites of SST and Chl a;;;SST anomoly (ST anomalies were determinedby averaging SST per region, season and year and subtracting the mean from pixel-specific values);;;minimum distance to steep (top 10%) SST gradients (ranked SST gradients within regions per season and year.)",,"1 (Chl a, SST)","9000 (Chl a, SST);;;4000 (SST to compare with seabirds)","Sea-WiFS and AVHRR gridded spatial rasterdata were converted to ‘centroid’ shapefiles usingArcGIS (ESRI, 2002);;;ArcGIS and ArcSpatial analyst (ESRI, 2002", Not Included,NI,anomaly accounted for to an extent,log-linear GeneralizedLinear  Model  with  a  log-link  function,NI,NI,,,Primary producer and seabird associations with AVHRR-derived sea surface temperatures and gradients in the southeastern Gulf of Alaska,Deep-Sea Res. Part II-Top. Stud. Oceanogr.,"O'Hara, P. D.; Morgan, K. H.; Sydeman, W. J."
8566823,Bird watching in China reveals bird distribution changes,hannah.1.wood,,FALSE, WOS,Title/Abstract, Does not use satellite remote sensing,,Bird watching records in China show changes in distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bird watching in China reveals bird distribution changes,Chin. Sci. Bull.,"XueYan, Li; Lu, Liang; Peng, Gong; Yang, Liu; FeiFei, Liang"
8566824,Spatial match-mismatch in the Benguela upwelling zone: should we expect chlorophyll and sea-surface temperature to predict marine predator distributions?,hannah.1.wood,,TRUE, WOS,,,,,2008,France,"Benguela upwelling zone (Malgas Island, Bird Island in Lambert’s Bay, South Africa Ichaboe Island and Mercury Island, Namibia)",South Africa and Namibia,"33°03′ S, 17°55′ E and 32°5′ S, 18°18′ E and 26°17′ S, 14°56′ E and 25°43′ S, 14°50′ E",1,2003,1,Sulidae,Morus capensis,,93 (satellite tags),4,,Foraging Location/Distribution,,Satellite tag/GPS tag,,NI,10 seconds,,,"http://edc.usgs.gov/products/elevation/gtopo30/dem_img.html (Bathymetry);;;r  (http://oceancolor.gsfc.nasa.gov/SeaWiFS.html (SST);;;Data sets are available in HDF from the NASA GoddardSpace  Flight  Center  Distributed  Active  Archive  Center  (GSFCDAAC, Washington, USA) (Chl)","GTOPO30, a global digital elevationmodel  (DEM)  Bathymetry;;;NI  (SST);;;NASA (Chl)",Aqua  (SST and Chl),MODIS spectroradiometer  (SST);;;MODIS Ocean colour  (Chl),SST;;;Chl a concentration;;;(Bathymetry),average SST in 1 nautical mile area;;;average chlorophyll_a in 1 nautical mile area,,1  (SST and Chl),"1000 (Bathymetry, SST and Chl)","SST Thelevel  1  data  set  is  part  of  the  33  data  sets  that  comprise  the  ECS(Earth  (Observation  System  Data  and  Information  System)  CoreSystem)  data  collection  (http://modis.gsfc.nasa.gov/,  accessed  May2005). Daily maps were compiled at a 1-km grid scale on a cylindricalequidistant  map  projection.  Data  sets  are  available  in  hierarchicaldata  format  (HDF)  from  the  Jet  Propulsion  Laboratory  PhysicalOceanography Distributed Active Archive Center (JPL PO.DAAC,Pasadena, Califoria, USA;;;All analyses were conducted using ArcGis 9·0 (ESRI Inc.), Access(Microsoft), Matlab 6·5 (The MathWorks Inc.) and Genstat Release8·1 (VSN International Ltd).", Not Included,,NI,"Average values for bathymetry, Chl and SST calculated for seabird homerange and foraging areas and compared with some undefined test for signifricance (P or F values given)","In the longer term birds might none the less move towardsthe south coast of  South Africa, where recent investigationsindicate  significantly  better  feeding  conditions  for  gannets","Our findings have far-ranging implications in the context ofthe ecosystem-based management of  fisheries (EBMF) and themanagement of  marine top predators challenged by environ-mental  change.  There  is  growing  evidence  that  single-stockfishery  management  has  failed  and  that  managing  fishingimpacts should be focused at the ecosystem level (Shannonet al. 2006). Our study demonstrates that it is essential to gainan understanding of  spatial dynamics across all major trophiclevels prior to implementing such EBMF. This is particularlytrue in the Benguela upwelling zone, which is one of  the firstmarine  regions  within  which  EBMF  will  be  established","Crucially, our analysis has revealed that the lowesttrophic  level  (phytoplankton)  of   a  marine  food  web  canmatch  with  the  highest  (top  predators)  while  mismatchingwith intermediate trophic levels (pelagic fish) The recorded match–mismatch pattern highlights the potentialmisuse of  remote-sensed patterns of  primary productivity tointerpret  the  foraging  behaviour  of   marine  top  predators",,Spatial match-mismatch in the Benguela upwelling zone: should we expect chlorophyll and sea-surface temperature to predict marine predator distributions?,J. Appl. Ecol.,"Gremillet, David; Lewis, Sue; Drapeau, Laurent; van Der Lingen, Carl D.; Huggett, Jenny A.; Coetzee, Janet C.; Verheye, Hans M.; Daunt, Francis; Wanless, Sarah; Ryan, Peter G."
8566825,Radar monitoring of migrating pink-footed geese: behavioural responses to offshore wind farm development,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,"Interesting paper about using radar to detect migrating birds near offshore windfarms, but about geese so not technically seabirds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radar monitoring of migrating pink-footed geese: behavioural responses to offshore wind farm development,J. Appl. Ecol.,"Plonczkier, Pawel; Simms, Ian C."
8566826,High-resolution shipboard measurements of phytoplankton - a way forward for enhancing the utility of satellite SST and Chlorophyll for mapping microscale features and frontal zones in coastal waters,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,Phytoplankton mapping ship-based vs SRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-resolution shipboard measurements of phytoplankton - a way forward for enhancing the utility of satellite SST and Chlorophyll for mapping microscale features and frontal zones in coastal waters,"Remote Sensing of the Oceans and Inland Waters: Techniques, Applications, and Challenges","Jenkins, Christy A.; Goes, Joaquim I.; McKee, Kali; Gomes, Helga do R.; Arnone, Robert; Wang, Menghua; Ondrusek, Michael; Nagamanie, P. V.; Latha, T. Preethi; Rao, K. H.; Dadhwal, V. K.; Frouin, R. J.; Shenoi, S. C.; Rao, K. H."
8566827,Oceanographic habitat of an endangered Mediterranean procellariiform: Implications for marine protected areas,hannah.1.wood,,TRUE, WOS,,,,,2006,Spain,Balearic Islands,Spain,,3,1999,1,Procellariidae,Puffinus mauretanicus,Critically Endangered,,,95 survey days, Other,At-sea distribution, At-sea survey,,600,10 min,,,http://podaac.jpl. nasa.gov/pub/sea_surface_temperature/ avhrr/pathfinder/data_v4. 1 (SST);;;http://seawifs.gsfc.nasa.gov/SEAWIFS.html) (Chl);;;NOAA's ETOPO elevation data (bathymetry),NI (SST and Chl),NI (SST and Chl),AVHRR (SST);;;Sea-viewing Wide Field-of-view Sensor: SeaWiFS (Chl),Pathfinder 4.1 SST imagery;;;Chl a;;;water depth  (bathymetry),"Distance to colony, distance to shore;;;Change gradient from surrounding cells (Bathymetry, SST and Chl);;;median depth, depth gradient, distance to shoreline, distance to the closest colony, median SST, SST gradient, median chl a, and chl a gradient",,8 (SST and Chl),9000 (SST and Chl);;;7500 and 8200 m at 35° N and 42° N latitude (bathymetry),"Arc View 3.2 Geographic Information Systems (GIS) software (1999);;;extracted the oceanographic variables (SST, chl a, depth) for each grid cell using the WIM 6.26 software (Kahru 2000).", Not Included,NI,NI,"generalized linear models,;;;hierarchical modeling approach, where we first characterized the overall range of the species using occurrence (presence/absence) records from the entire data set. We built this model assuming a binomial distribution and using the logit-link function, and evaluated the goodness of fit using the Pearson's chi-square statistic;;;xcluding those bins where shearwaters were absent, we quantified the areas of high aggregation using the continuously distributed density data using the identity link function;;;October 2006 BALEARIC SHEARWATER HABITAT MODELING 1687 Table 1 . Bivariate Spearman rank P values (above diagonal) and correlations between environmental variables (below diagonal) in the analyzed 9-km grid cells (n - 567). Distance to Distance to Median Depth Median Chi a Median SST Variable shoreline colony depth gradient chl a gradient SST gradient Distance to shoreline 1.000 <0.001 <0.001 <0.001 <0.001 ns ns <0.05 Distance to colony -0.271 1.000 <0.001 <0.01 <0.001 ns <0.001 <0.01 Median depth 0.323 0.415 1.000 <0.001 <0.05 <0.05 <0.001 <0.001 Depth gradient -0.668 0.124 -0.381 1.000 <0.001 ns ns <0.001 Median chU -0.196 0.419 -0.083 0.153 1.000 <0.001 <0.001 <0.001 ChU gradient 0.024 -0.025 -0.095 0.001 0.370 1.000 <0.01 ns Median SST 0.057 -0.384 -0.178 -0.017 -0.462 -0.122 1.000 <0.001 SST gradient 0.107 0.110 0.167 -0.169 0.155 0.057 -0.180 1.000 Note: ns, nonsignificant. Because the environmental conditions in the study area were cross-correlated (Table 1), we used multi- variate statistics to assess the relative influence of each habitat variable on shearwater distribution. We used generalized linear models (GENMOD procedure; SAS Institute 2000), and adopted a hierarchical modeling approach, where we first characterized the overall range of the species using occurrence (presence/absence) records from the entire data set. We built this model assuming a binomial distribution and using the logit-link function, and evaluated the goodness of fit using the Pearson's chi-square statistic (Crawley 1993). Then, after excluding those bins where shearwaters were absent, we quantified the areas of high aggregation using the continuously distributed density data using the identity link function. We assembled the best-fit model iteratively using a stepwise procedure by rejecting/retaining the variables with the lowest/highest explanatory power one at a time;;;Then, we calculated the probability of shearwater occurrence for each surveyed grid cell in each year, using the final logistic model developed with the presence/absence data. We calculated the Linear Predictor (LP) using the constant and the variable coefficients from the best-fit model, and calculated the probability of shearwater occurrence predicted by the model (P) as follows: Pr = eLP(l +eLP)""1",NI,"Following the model of a core-buffer MPA, we envision the following marine zoning approach to protect Balearic Shearwaters during the breeding season. Areas of dense aggregations could serve as the core regions deserving elevated protection. The dynamic nature and interannual variability of fronts raises the necessity of the periodical revision of their geographic extension. Nevertheless, these features could be monitored re- motely using satellite imagery",,,Oceanographic habitat of an endangered Mediterranean procellariiform: Implications for marine protected areas,Ecol. Appl.,"Louzao, Maite; Hyrenbach, K. David; Arcos, Jose Manuel; Abello, Pere; Gil De Sola, Luis; Oro, Daniel"
8566828,Seabirds in the Marine Wilderness of the western North Atlantic,hannah.1.wood,,TRUE, WOS,,,,,2000,Canada,Western North Atlantic Ocean (Gulf of Maine to Canadian Arctic),Canada (plus USA and Greenland),,25 (Seabirds),1967 (Seabirds),15,Sulidae;;;Laridae;;;Procellariidae;;;Laridae;;;Laridae;;;Laridae;;;Laridae;;;Alcidae;;;Alcidae;;;Procellariidae;;;Procellariidae;;;Alcidae;;;Laridae;;;Laridae;;;Alcidae,Sula  bassanus;;;Rissa tridactyla;;;Fulmarus glacialis;;;Larus argentatus;;;Larus marinus;;;Larus glaucoides;;;Larus hyperboreus;;;Uria  lomvia;;;Uria aalge;;;Fratercula arctica;;;Ardenna gravis;;;Alle alle;;;Pagophila eburnea;;;Rhodostethia  rosea;;;Alca  torda,Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Vulnerable;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern;;;Near Threatened,NI,,15 species, Other,"General at-sea distribution in Summer, Winter and during migration", At-sea survey,Some additional aerial survey data,NI (Temporal resolution every 10 min),,,,"Pathfinder NOAA;;;COADS (NOAA);;;PIROP (in situ wind speed data);;;ETOPO5;;;SPANS-GIS from ETOPO5;;;WOA (NOAA);;;Department of fisheries and oceans, Dartmouth (prey biomass)",NOAA,NI,NI,Atmospheric Temperature;;;Standard Atmospheric Temperature (standard deviation);;;Wind Speed;;;Air pressure at sea level;;;Air temperature;;;Wind (speed/direction not specified);;;Sea depth;;;Slope of sea floor;;;Aspect of sea floor;;;Sea surface temperature (WOA);;;Water temperature at 30m (WOA);;;Sea surface salinity (WOA);;;Water salinity at 30m (WOA);;;Sea State (PIROP in situ);;;ECNASAP groundfish,"Distance to coast;;;Distance from seamount;;;Salinity difference, surface - 30m;;;Temperature difference, surface - 30m",,NI,NI,SPANS-GIS for environmental data layers, Not Included,,NI,GIS mapping (SPANS-GIS);;;Logistic regression and classification and regression trees in SPLUS,NI,Suggests development of an interdisciplinary  seabird  survey  program  be conducted for the Marine Wilderness (with consideration of the  area’s  international  nature)  to  learn  more  about  this huge and important habitat,"All data is amalgamated over years. Separated by season, but not year? Methodology not clear. Not sure if this is peer reviewed? Symposium paper rather than journal article.",,Seabirds in the Marine Wilderness of the western North Atlantic,"Personal, Societal, and Ecological Values of Wilderness: Sixth World Wilderness Congress Proceedings on Research, Management, and Allocation, Vol Ii","Huettmann, F.; Watson, A. E.; Aplet, G. H.; Hendee, J. C."
8566829,Abundance and distribution of avian and marine mammal predators of sardine observed during the 2005 KwaZulu-Natal sardine run survey,hannah.1.wood,,TRUE, WOS,,,,,2010,South Africa,Eastern Cape and KwaZulu-Natal,South Africa,34 d S 26 d E to 29 d S 34 d E,,2005,2,,Spheniscus demersus;;;Phalacrocorax capensis;;;Sterna bergii;;;Procellaria aequinoctialis;;;Morus capensis;;;Sterna vittata;;;Thalassarche carteri;;;Thalassarche melanophris;;;Thalassarche cauta;;;Puffinus griseus;;;Catharacta antarctica;;;Pachyptila desolata;;;Pterodroma macroptera;;;Pterodroma mollis;;;Oceanites oceanicus,,,,,Foraging Location/Distribution,, At-sea survey,,300 m,10 min (pooled to approx one month), Satellite,,"www.rsmarinesa.org.za (SST, Chl);;;South African Hydrographic Office 1:50 000 National Series charts, specifically SAN 126–132 and 135 (available from http://www.sanho.co.za). (bathymetry)",NI,NI,"MODIS (SST, Chl)",SST;;;Chl a concentration,mean three-day weighted-average (SST);;;mean pentad (Chl a),water depth (bathymetry);;;Euclidean  distance from shore.;;;GPS location;;;clupeoid distributions (prey),3,1000 x1000,GIS  document  using ESRI’s ArcView 9 software, In situ measurements,The accuracy of the remotely sensed SST data was investigated by comparing mean  temperatures  obtained  within  each  survey  block  against those obtained using the ship’s log data.,NI,"To compare predator and clupeoid distributions, a hierarchical cluster analysis (HCA) was performed;;;Spearman’s  rank  bivariate  correlation  coefficients  (ρ),  obtained  between  predator encounter rates, clupeoid densities and the following environmental variables: latitude, distance from shore, depth, mean SST and mean Chl a concentration",NI,NI,,,Abundance and distribution of avian and marine mammal predators of sardine observed during the 2005 KwaZulu-Natal sardine run survey,Afr. J. Mar. Sci.,"O'Donoghue, S. H.; Whittington, P. A.; Dyer, B. M.; Peddemors, V. M."
8566830,Land cover change and management implications for the conservation of a seabird in an urban coastal zone under climate change,hannah.1.wood,,TRUE, WOS,,,,Little penguins nesting habitat and the effect of local scale climate change,2018,New Zealand,"Breaker Bay and Moa Point, Wellington",New Zealand,,3,2012 (SRS data),1,Spheniscidae,Eudyptula minor,Least Concern,,2 Colonies,, Breeding Location/Distribution,, Other,a-priori knowledge from published papers.,NI,NI,,,"Land Cover Database ver-sion 4.1, Mainland New Zealand–LCDB(Landcare Research, 2015;;;Potential Vegetation of New Zeal-and(Landcare Research, 2012)",NI,NI,NI,NI,Land cover/vegetation/land use,,NI,NI,Arc Map v.10.4.1, Not Included,,NI,"GIS, mapping, illustrative.","IPCC predictions of climate change, plot coastline under 80cm of sea level rise and it's effect on nesting habitat. Quantify proportion of habitat that may be affected. Breeding success may be lowered by increased surface temperatures at nesting sites.","Number of strategies outlined for management/conservation Suggests importance of preserving habitat vulnerable to sea-level rise, preventing infil in urban nesting areas, suggest re-vegetation of native plants",Landscape management for conservation.,,Land cover change and management implications for the conservation of a seabird in an urban coastal zone under climate change,Ecol. Manag. Restor.,"Rastandeh, Amin; Zari, Maibritt Pedersen; Brown, Daniel K."
8566831,Correcting for within-season demographic turnover to estimate the island-wide population of King Penguins (Aptenodytes patagonicus) on South Georgia,hannah.1.wood,,TRUE, WOS,,,,king penguin breeding colony remote sensing,2020,USA,South Georgia,Antarctica,"-54.429579, -36.587909",7,2010,1,,Aptenodytes patagonicus,,810850,33,, Breeding Location/Distribution,, Other combined methods,remote imaging and land-based counts,,, Satellite,,DigitalGlobe,,,,high-resolution satellite imagery,"counts of individuals, colony area/perminiter, breeding density",,1,0.31–0.6,digitized the colony area of three satellite images using ArcGIS,,ground counts within 15 days,,,"reference another paper which has made predictions about changes to breeding colony proximity to the polar front. South Georgia appears to be one of the few sites where King Penguin foraging grounds are anticipated to shift closer to the breeding colonies, suggesting that this region may play a critical role in sustaining the species. It is thus of critical importance to monitor continued population changes at South Georgia. (referencing another study)",,,,Correcting for within-season demographic turnover to estimate the island-wide population of King Penguins (Aptenodytes patagonicus) on South Georgia,Polar Biol.,"Foley, C. M.; Fagan, W. F.; Lynch, H. J."
8566832,"Remote-sensing systems and seabirds: their use, abuse and potential for measuring marine environmental variables",hannah.1.wood,,FALSE, WOS,Title/Abstract, Does not use satellite remote sensing,,Using seabirds to record environmental data. Review.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Remote-sensing systems and seabirds: their use, abuse and potential for measuring marine environmental variables",Mar. Ecol.-Prog. Ser.,"Wilson, R. P.; Gremillet, D.; Syder, J.; Kierspel, M. a. M.; Garthe, S.; Weimerskirch, H.; Schafer-Neth, C.; Scolaro, J. A.; Bost, C. A.; Plotz, J.; Nel, D."
